"","cow","year","milex","version"
"370","CUB",1943,-9,2011
"371","CUB",1944,-9,2011
"372","CUB",1945,-9,2011
"373","CUB",1946,-9,2011
"374","CUB",1947,-9,2011
"375","CUB",1948,39943,2011
"376","CUB",1949,-9,2011
"377","CUB",1950,39175,2011
"378","CUB",1951,-9,2011
"379","CUB",1952,56000,2011
"380","CUB",1953,53000,2011
"381","CUB",1954,-9,2011
"382","CUB",1955,54000,2011
"383","CUB",1956,51000,2011
"384","CUB",1957,56100,2011
"385","CUB",1958,-9,2011
"386","CUB",1959,-9,2011
"387","CUB",1960,175000,2011
"388","CUB",1961,175000,2011
"389","CUB",1962,200000,2011
"390","CUB",1963,200000,2011
"391","CUB",1964,200000,2011
"392","CUB",1965,140000,2011
"393","CUB",1966,230000,2011
"394","CUB",1967,170000,2011
"395","CUB",1968,213000,2011
"396","CUB",1969,186000,2011
"397","CUB",1970,228000,2011
"398","CUB",1971,290000,2011
"399","CUB",1972,267000,2011
"400","CUB",1973,270000,2011
"401","CUB",1974,282000,2011
"402","CUB",1975,326000,2011
"403","CUB",1976,-9,2011
"404","CUB",1977,770000,2011
"405","CUB",1978,1031579,2011
"406","CUB",1979,1136486,2011
"407","CUB",1980,1126388,2011
"408","CUB",1981,1272515,2011
"409","CUB",1982,1330000,2011
"410","CUB",1983,1338001,2011
"411","CUB",1984,1357214,2011
"412","CUB",1985,1350000,2011
"413","CUB",1986,1480000,2011
"414","CUB",1987,1660000,2011
"415","CUB",1988,2240000,2011
"416","CUB",1989,1830000,2011
"417","CUB",1990,1691000,2011
"418","CUB",1991,1160000,2011
"419","CUB",1992,-9,2011
"420","CUB",1993,-9,2011
"421","CUB",1994,356,2011
"422","CUB",1995,700000,2011
"423","CUB",1996,715000,2011
"424","CUB",1997,720000,2011
"425","CUB",1998,765000,2011
"426","CUB",1999,750000,2011
"427","CUB",2000,735000,2011
"428","CUB",2001,735000,2011
"429","CUB",2002,1152000,2011
"430","CUB",2003,1208000,2011
"431","CUB",2004,1320000,2011
"432","CUB",2005,1444000,2011
"433","CUB",2006,1668000,2011
"434","CUB",2007,2148000,2011
"435","CUB",2008,2296000,2011
"436","CUB",2009,19060000,2011
"437","CUB",2010,-9,2011
"438","CUB",2011,96000,2011
"439","CUB",2012,-9,2011
"440","HAI",1859,-9,2011
"441","HAI",1860,-9,2011
"442","HAI",1861,-9,2011
"443","HAI",1862,-9,2011
"444","HAI",1863,163,2011
"445","HAI",1864,-9,2011
"446","HAI",1865,-9,2011
"447","HAI",1866,-9,2011
"448","HAI",1867,-9,2011
"449","HAI",1868,-9,2011
"450","HAI",1869,-9,2011
"451","HAI",1870,-9,2011
"452","HAI",1871,-9,2011
"453","HAI",1872,-9,2011
"454","HAI",1873,-9,2011
"455","HAI",1874,-9,2011
"456","HAI",1875,-9,2011
"457","HAI",1876,166,2011
"458","HAI",1877,166,2011
"459","HAI",1878,-9,2011
"460","HAI",1879,-9,2011
"461","HAI",1880,-9,2011
"462","HAI",1881,208,2011
"463","HAI",1882,242,2011
"464","HAI",1883,244,2011
"465","HAI",1884,-9,2011
"466","HAI",1885,219,2011
"467","HAI",1886,219,2011
"468","HAI",1887,-9,2011
"469","HAI",1888,-9,2011
"470","HAI",1889,-9,2011
"471","HAI",1890,-9,2011
"472","HAI",1891,267,2011
"473","HAI",1892,331,2011
"474","HAI",1893,331,2011
"475","HAI",1894,-9,2011
"476","HAI",1895,-9,2011
"477","HAI",1896,374,2011
"478","HAI",1897,265,2011
"479","HAI",1898,349,2011
"480","HAI",1899,279,2011
"481","HAI",1900,275,2011
"482","HAI",1901,281,2011
"483","HAI",1902,281,2011
"484","HAI",1903,277,2011
"485","HAI",1904,282,2011
"486","HAI",1905,305,2011
"487","HAI",1906,383,2011
"488","HAI",1907,325,2011
"489","HAI",1908,-9,2011
"490","HAI",1909,-9,2011
"491","HAI",1910,-9,2011
"492","HAI",1911,-9,2011
"493","HAI",1912,630,2011
"494","HAI",1913,695,2011
"495","HAI",1914,533,2011
"496","HAI",1915,789,2011
"497","HAI",1934,1340,2011
"498","HAI",1935,1360,2011
"499","HAI",1936,1360,2011
"500","HAI",1937,1500,2011
"501","HAI",1938,1760,2011
"502","HAI",1939,1760,2011
"503","HAI",1940,-9,2011
"504","HAI",1941,1509,2011
"505","HAI",1942,1509,2011
